STT,pickup_longitude,pickup_latitude,PUcity,PUdistrict
528,-73.95515,40.76493,New York,Upper East Side
529,-73.99401,40.7282,New York,Noho
530,-73.94632,40.79559,New York,East Harlem
531,-73.95436,40.76413,New York,Upper East Side
532,-73.96275,40.77831,New York,Upper East Side
533,-74.00321,40.72694,New York,Soho
534,-73.96472,40.75584,New York,Turtle Bay
535,-73.98285,40.73082,New York,East Village
536,-73.97821,40.7782,New York,Upper West Side
537,-73.98145,40.76442,New York,Clinton
538,-74.00404,40.72588,New York,Soho
539,-73.98435,40.77561,New York,Lincoln Square
540,-73.78209,40.64458,Jamaica,
541,-73.98013,40.68985,Brooklyn,Fort Greene
542,-73.9516,40.76651,New York,Upper East Side
543,-74.00306,40.74936,New York,Chelsea
544,-73.86291,40.76852,Flushing,
545,-73.96811,40.76452,New York,Upper East Side
546,-73.87299,40.77418,Flushing,
547,-73.96756,40.77177,New York,Upper East Side
548,-73.9549,40.7836,New York,Upper East Side
549,-74.0026,40.73414,New York,West Village
